image_id,grapheme_root,vowel_diacritic,consonant_diacritic,grapheme
Train_532,72,0,7,র্দ্র
Train_1482,64,3,7,র্ত্রী
Train_1874,64,7,7,র্ত্রে
Train_2120,64,7,7,র্ত্রে
Train_2391,64,3,7,র্ত্রী
Train_2752,64,7,7,র্ত্রে
Train_3099,72,0,7,র্দ্র
Train_3247,64,7,7,র্ত্রে
Train_3499,64,7,7,র্ত্রে
Train_3529,64,7,7,র্ত্রে
Train_3828,64,3,7,র্ত্রী
Train_4069,64,7,7,র্ত্রে
Train_4145,72,0,7,র্দ্র
Train_4369,72,0,7,র্দ্র
Train_4793,72,0,7,র্দ্র
Train_5123,72,0,7,র্দ্র
Train_5180,72,0,7,র্দ্র
Train_5214,72,0,7,র্দ্র
Train_6259,64,7,7,র্ত্রে
Train_6341,64,3,7,র্ত্রী
Train_6973,64,7,7,র্ত্রে
Train_7751,64,7,7,র্ত্রে
Train_8586,64,7,7,র্ত্রে
Train_8613,72,0,7,র্দ্র
Train_8846,64,3,7,র্ত্রী
Train_9287,72,0,7,র্দ্র
Train_9600,72,0,7,র্দ্র
Train_9746,64,3,7,র্ত্রী
Train_9865,72,0,7,র্দ্র
Train_10036,64,7,7,র্ত্রে
Train_10989,72,0,7,র্দ্র
Train_11122,64,3,7,র্ত্রী
Train_11643,64,3,7,র্ত্রী
Train_11668,64,7,7,র্ত্রে
Train_12816,64,7,7,র্ত্রে
Train_12944,64,7,7,র্ত্রে
Train_14100,64,7,7,র্ত্রে
Train_16056,72,0,7,র্দ্র
Train_16256,64,3,7,র্ত্রী
Train_17001,72,0,7,র্দ্র
Train_17195,72,0,7,র্দ্র
Train_17236,64,3,7,র্ত্রী
Train_17834,72,0,7,র্দ্র
Train_18525,72,0,7,র্দ্র
Train_19590,72,0,7,র্দ্র
Train_20199,72,0,7,র্দ্র
Train_20770,64,7,7,র্ত্রে
Train_22203,64,7,7,র্ত্রে
Train_22292,64,7,7,র্ত্রে
Train_22493,64,7,7,র্ত্রে
Train_23184,64,3,7,র্ত্রী
Train_23728,64,7,7,র্ত্রে
Train_23775,64,7,7,র্ত্রে
Train_24097,72,0,7,র্দ্র
Train_24723,64,7,7,র্ত্রে
Train_24842,72,0,7,র্দ্র
Train_25584,72,0,7,র্দ্র
Train_25817,72,0,7,র্দ্র
Train_26259,64,3,7,র্ত্রী
Train_26729,64,7,7,র্ত্রে
Train_27110,64,3,7,র্ত্রী
Train_27200,72,0,7,র্দ্র
Train_27372,64,7,7,র্ত্রে
Train_29594,64,7,7,র্ত্রে
Train_29671,72,0,7,র্দ্র
Train_29956,72,0,7,র্দ্র
Train_30135,72,0,7,র্দ্র
Train_30342,72,0,7,র্দ্র
Train_31066,64,7,7,র্ত্রে
Train_31861,64,3,7,র্ত্রী
Train_32077,64,3,7,র্ত্রী
Train_32300,64,7,7,র্ত্রে
Train_32430,72,0,7,র্দ্র
Train_33342,72,0,7,র্দ্র
Train_33607,64,3,7,র্ত্রী
Train_34267,64,3,7,র্ত্রী
Train_34455,64,7,7,র্ত্রে
Train_34621,64,7,7,র্ত্রে
Train_35008,64,7,7,র্ত্রে
Train_36136,64,7,7,র্ত্রে
Train_37033,64,7,7,র্ত্রে
Train_37646,64,7,7,র্ত্রে
Train_38232,72,0,7,র্দ্র
Train_38650,64,3,7,র্ত্রী
Train_39149,72,0,7,র্দ্র
Train_39457,72,0,7,র্দ্র
Train_39558,72,0,7,র্দ্র
Train_39881,64,7,7,র্ত্রে
Train_39968,64,7,7,র্ত্রে
Train_40847,72,0,7,র্দ্র
Train_40990,72,0,7,র্দ্র
Train_41548,72,0,7,র্দ্র
Train_41963,64,7,7,র্ত্রে
Train_42069,64,3,7,র্ত্রী
Train_42446,72,0,7,র্দ্র
Train_42522,64,3,7,র্ত্রী
Train_43313,64,7,7,র্ত্রে
Train_43534,72,0,7,র্দ্র
Train_43849,64,3,7,র্ত্রী
Train_44528,64,7,7,র্ত্রে
Train_44694,72,0,7,র্দ্র
Train_44808,72,0,7,র্দ্র
Train_45819,64,7,7,র্ত্রে
Train_46263,64,3,7,র্ত্রী
Train_46363,64,3,7,র্ত্রী
Train_46490,64,7,7,র্ত্রে
Train_47779,72,0,7,র্দ্র
Train_47976,64,3,7,র্ত্রী
Train_48379,64,3,7,র্ত্রী
Train_48591,64,3,7,র্ত্রী
Train_49385,72,0,7,র্দ্র
Train_49692,64,3,7,র্ত্রী
Train_49743,72,0,7,র্দ্র
Train_49860,64,3,7,র্ত্রী
Train_51262,72,0,7,র্দ্র
Train_51298,64,3,7,র্ত্রী
Train_51358,64,3,7,র্ত্রী
Train_51608,64,3,7,র্ত্রী
Train_51939,64,7,7,র্ত্রে
Train_52985,64,3,7,র্ত্রী
Train_53540,72,0,7,র্দ্র
Train_54610,64,3,7,র্ত্রী
Train_54727,64,7,7,র্ত্রে
Train_54949,64,3,7,র্ত্রী
Train_55444,64,3,7,র্ত্রী
Train_56055,64,7,7,র্ত্রে
Train_58146,64,3,7,র্ত্রী
Train_58329,64,7,7,র্ত্রে
Train_58665,64,3,7,র্ত্রী
Train_58789,64,7,7,র্ত্রে
Train_59007,64,7,7,র্ত্রে
Train_60155,64,3,7,র্ত্রী
Train_60369,64,7,7,র্ত্রে
Train_61287,64,3,7,র্ত্রী
Train_61488,64,7,7,র্ত্রে
Train_61857,72,0,7,র্দ্র
Train_61940,64,7,7,র্ত্রে
Train_62392,72,0,7,র্দ্র
Train_63260,72,0,7,র্দ্র
Train_63845,72,0,7,র্দ্র
Train_63984,64,3,7,র্ত্রী
Train_64614,64,7,7,র্ত্রে
Train_65073,64,3,7,র্ত্রী
Train_66104,72,0,7,র্দ্র
Train_66463,64,7,7,র্ত্রে
Train_67042,64,3,7,র্ত্রী
Train_67476,72,0,7,র্দ্র
Train_68108,72,0,7,র্দ্র
Train_68205,64,7,7,র্ত্রে
Train_70674,72,0,7,র্দ্র
Train_71035,64,3,7,র্ত্রী
Train_71198,64,7,7,র্ত্রে
Train_71471,64,3,7,র্ত্রী
Train_71831,64,3,7,র্ত্রী
Train_72426,72,0,7,র্দ্র
Train_72529,64,7,7,র্ত্রে
Train_73546,64,7,7,র্ত্রে
Train_73758,72,0,7,র্দ্র
Train_74423,64,7,7,র্ত্রে
Train_74841,64,7,7,র্ত্রে
Train_76323,64,3,7,র্ত্রী
Train_77481,64,7,7,র্ত্রে
Train_77964,64,7,7,র্ত্রে
Train_78009,64,3,7,র্ত্রী
Train_78010,72,0,7,র্দ্র
Train_78143,64,7,7,র্ত্রে
Train_78286,64,7,7,র্ত্রে
Train_79033,72,0,7,র্দ্র
Train_79407,64,7,7,র্ত্রে
Train_80044,64,3,7,র্ত্রী
Train_81690,64,7,7,র্ত্রে
Train_82051,64,3,7,র্ত্রী
Train_82971,64,3,7,র্ত্রী
Train_83736,72,0,7,র্দ্র
Train_83833,72,0,7,র্দ্র
Train_84979,72,0,7,র্দ্র
Train_85368,64,7,7,র্ত্রে
Train_86658,64,7,7,র্ত্রে
Train_87625,64,7,7,র্ত্রে
Train_87657,72,0,7,র্দ্র
Train_88302,64,3,7,র্ত্রী
Train_88512,72,0,7,র্দ্র
Train_88601,64,7,7,র্ত্রে
Train_89935,64,7,7,র্ত্রে
Train_90403,72,0,7,র্দ্র
Train_90671,72,0,7,র্দ্র
Train_90683,72,0,7,র্দ্র
Train_90750,64,3,7,র্ত্রী
Train_90879,64,3,7,র্ত্রী
Train_90891,64,7,7,র্ত্রে
Train_91680,64,7,7,র্ত্রে
Train_91964,64,7,7,র্ত্রে
Train_92761,64,7,7,র্ত্রে
Train_92814,64,3,7,র্ত্রী
Train_94563,72,0,7,র্দ্র
Train_94650,64,3,7,র্ত্রী
Train_94920,64,3,7,র্ত্রী
Train_95357,64,7,7,র্ত্রে
Train_96028,64,7,7,র্ত্রে
Train_96115,64,7,7,র্ত্রে
Train_96607,72,0,7,র্দ্র
Train_97876,72,0,7,র্দ্র
Train_98628,64,7,7,র্ত্রে
Train_98697,64,7,7,র্ত্রে
Train_99273,64,7,7,র্ত্রে
Train_100235,72,0,7,র্দ্র
Train_101087,72,0,7,র্দ্র
Train_101659,72,0,7,র্দ্র
Train_101903,64,3,7,র্ত্রী
Train_102252,64,3,7,র্ত্রী
Train_102719,72,0,7,র্দ্র
Train_103260,64,7,7,র্ত্রে
Train_103546,64,3,7,র্ত্রী
